country,cur,local price,exch,gdp per cap
South Africa,ZAR,31,13.3,7524.51
Malawi,MWK,2965,727,486.45
Zambia,ZMK,56,11.858,1646.14
Angola,AOA,2895,308,3484.6
Mozambique,MZN,344,61,519
Kenya,KES,528,101,1169.34
Tanzania,TZS,7430,2289,900.52
Uganda,UGX,22384,3743,666.61
Nigeria,NGN,1794,361,2412.41
Namibia,NAD,79,14.1,5854.86
Botswana,BWP,56,10.6,7523.22
Ghana,GH₵,40,4.9,1641.49
Mauritius,Rs,227,34.5,10547.22
Seychelles,Rs,114,13.6,15504.46
